Product Title,Product Price,Product Asin,Product URL
Hyperkin RetroN Sq: HD Gaming Console for Game Boy/Color/Game Boy Advance (Blackgold) - Game Boy Advance,$135.77,B08WSHL985,https://www.amazon.com/Hyperkin-RetroN-Sq-Console-Advance-Blackgold/dp/B08WSHL985/ref=sr_1_30?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-30
"Lenovo Legion H500 PRO 7.1 Surround Sound Gaming Headset, Noise-Cancelling Mic, Memory Foam & PU Leather Earcups, Stainless Steel Headband, PC, PS4, Xbox One, Nintendo Switch, GXD0T69864, Black",$135.77,B07SCPBC1B,https://www.amazon.com/Lenovo-Surround-Noise-Cancelling-Stainless-GXD0T69864/dp/B07SCPBC1B/ref=sr_1_31?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-31
"Adesso Imouse E30-2.4GHz Wireless Ergonomic Vertical Right-Handed Mouse, Black",$135.77,B01N2ALYYK,https://www.amazon.com/Adesso-E30-2-4GHz-Wireless-Ergonomic-Right-Handed/dp/B01N2ALYYK/ref=sr_1_32?m=A3DQZEP4SGW5UA&qid=1699704011&s=merchant-items&sr=1-32
"Lasko CD08200 Small Portable Ceramic Space Heater for Bathroom and Indoor Home Use, White, 6.25 x 6.25 x 7.65 inches",$59.56,B01NAQO4F1,https://www.amazon.com/Lasko-CD08200-Bathroom-Heater-White/dp/B01NAQO4F1/ref=sr_1_33?m=A3DQZEP4SGW5UA&qid=1699704017&s=merchant-items&sr=1-33
"Elite Gourmet EWM-6171 Triple 3 x 2.5 Qt. Trays, Buffet Server, Food Warmer Temperature Control, Clear Slotted Lids, Perfect for Parties, Entertaining & Holidays, 7.5 Qt Total, Stainless Steel",$59.56,B0015UUEFU,https://www.amazon.com/Elite-Platinum-EWM-6171-Temperature-Entertaining/dp/B0015UUEFU/ref=sr_1_34?m=A3DQZEP4SGW5UA&qid=1699704017&s=merchant-items&sr=1-34
HEMPZ Body Lotion - Triple Moisture - Grapefruit and Sparkling Peach - Daily Moisturizing Cream - 17oz,$59.56,B00EYMWQRA,https://www.amazon.com/HEMPZ-Body-Lotion-Grapefruit-Moisturizing/dp/B00EYMWQRA/ref=sr_1_35?m=A3DQZEP4SGW5UA&qid=1699704017&s=merchant-items&sr=1-35
"Logitech MK235 Wireless Keyboard and Mouse Combo for Windows, USB Receiver, 15 FN Keys, Long Battery Life, Compatible with PC, Laptop",$59.56,B01AROOL12,https://www.amazon.com/Logitech-MK235-Wireless-Keyboard-Mouse/dp/B01AROOL12/ref=sr_1_36?m=A3DQZEP4SGW5UA&qid=1699704017&s=merchant-items&sr=1-36
"360 Premium Electrode Gel for ECG, TENS, Monitoring, Pediatrics Soothing Gel Anti-Irritation 8.5 oz Tube - Each",$59.56,B0837LN9X9,https://www.amazon.com/Electrode-Monitoring-Pediatrics-Soothing-Anti-Irritation/dp/B0837LN9X9/ref=sr_1_37?m=A3DQZEP4SGW5UA&qid=1699704017&s=merchant-items&sr=1-37
StarTech.com SATA to USB Cable - USB 3.0 to 2.5” SATA III Hard Drive Adapter - External Converter for SSD/HDD Data Transfer (USB3S2SAT3CB),$59.56,B00HJZJI84,https://www.amazon.com/StarTech-com-SATA-USB-Cable-USB3S2SAT3CB/dp/B00HJZJI84/ref=sr_1_38?m=A3DQZEP4SGW5UA&qid=1699704017&s=merchant-items&sr=1-38
"Turtle Wax 53409 Hybrid Solutions Ceramic Spray Coating, Incredible Shine & Protection for Car Paint, Extreme Water Beading, Safe for Cars, Trucks, Motorcycles, RV's & More, 16 oz.",$59.56,B07XYPS3PS,https://www.amazon.com/Turtle-Wax-53409-Solutions-Coating-16/dp/B07XYPS3PS/ref=sr_1_39?m=A3DQZEP4SGW5UA&qid=1699704017&s=merchant-items&sr=1-39
